Claim,Evidence,Original Evidence,label
We should ban racial profiling,"King's county advice said it was to discourage racial profiling and reduce the fear of looking for health care [ref].",The King County Council said it was to discourage racial profiling and decrease the fear of seeking health care [REF].,1
We should adopt open source software,"In this way, open source software provides solutions to unique or specific problems.","In this way, open source software provides solutions to unique or specific problems.",1
religious belief is a delusion,"According to Professor Vilayanur S. Ramachandran, 'it is possible that many great religious leaders had temporal lobe crises and that predisposes them to have visions, having mystical experiences.' [Ref","According to Professor Vilayanur S. Ramachandran, 'It's possible that many great religious leaders had temporal lobe seizures and this predisposes them to having visions, having mystical experiences.'[REF",1
We should prohibit hydraulic fracturing,"The 2014 law on the safety of the safety forms of shale gas published in Maryland [ref] prohibits the issuance of drilling permit until a standard 'assessment of public health and environmental risks relating to hydraulic fracturing activities' is carried out for at least 18 months depending on the governor's decree.","The Shale Gas Drilling Safety Review Act of 2014 issued in Maryland[REF] forbids the issuance of drilling permits until a high standard 'risk assessment of public health and environmental hazards relating to hydraulic fracturing activities' is conducted for at least 18 months based on the Governor's executive order.",1
We should abandon democracy,"The Council then called for the release of all the country's political prisoners, including Nelson Mandela, and that the creation of a free democratic society can lead to a solution.","The Council went on to call for the release of all political prisoners in the country, including Nelson Mandela, and that the establishment of a free, democratic society can lead to a solution.",1
We should fight global warming,Many risks should increase with higher amplitudes of global warming [ref].,Many risks are expected to increase with higher magnitudes of global warming [REF].,1
We should further exploit nuclear power,"Supporters, such as the global nuclear association and nuclear energy environmentalists, argue that nuclear energy is a safe and lasting source of energy that reduces carbon emissions [ref].","Proponents, such as the World Nuclear Association and Environmentalists for Nuclear Energy, contend that nuclear power is a safe, sustainable energy source that reduces carbon emissions [REF].",1
Surrogacy should be banned,"Maternity of commercial substitution and related advertising remains illegal in all states and territories, with the exception of the Northern territory where there are no laws or regulations concerning substitution maternity agreements.",Commercial surrogacy and related advertising remains illegal in all states and territories except for the Northern Territory where there are no laws or regulations regarding surrogacy arrangements.,1
We should introduce goal line technology,Law 10 (The rating method): Allowing the use of the goal line technology to verify whether the objectives have been noted or not.,Law 10 (The Method of Scoring): permitting use of goal-line technology to verify whether or not goals have been scored.,1
We should ban private education,"In their favor, it has been pointed out that private schools cover the entire program and offer extracurricular activities such as scientific fairs, general knowledge, sports, music and theater [REF].","In their favour, it has been pointed out that private schools cover the entire curriculum and offer extra-curricular activities such as science fairs, general knowledge, sports, music and drama [REF].",1
We should subsidize recycling,"Local commercial associations and recyclers have also been consulted and supported the development of Ecopark, suitable by providing long -term land at an affordable cost, as well as support infrastructure, Ecopark will help improve technology development and improve waste recovery rates in Hong Kong.","Local trade associations and recyclers were also consulted and they support the development of EcoPark, agreeing that by providing long-term land at affordable cost, together with supporting infrastructure, EcoPark will help enhance recycling technology development and improve waste recovery rates in Hong Kong.",1
We should increase fuel tax,"In the United Kingdom, where fuel taxes were increased in October and were to go back in April 2008, there was talk of demonstrations and roadblocks if the tax question was not addressed [REF].","In the United Kingdom, where fuel taxes were raised in October and were scheduled to rise again in April 2008, there was talk of protests and roadblocks if the tax issue was not addressed [REF].",1
We should legalize prostitution,"Officially, prostitution is illegal in continental China [ref].","Officially, prostitution is illegal in mainland China [REF].",1
We should introduce compulsory voting,"This practically meant that the party was opposed to the government's government control, such as compulsory voting, compulsory vaccination and social security.","Practically this meant that the party was opposed to government control of society, like compulsory voting, compulsory vaccination, and social security.",1
We should protect Antarctica,"The Treaty entered into force in 1961 and puts aside Antarctica as a scientific reserve, established the freedom of scientific investigation and prohibited military activity on this continent.","The treaty entered into force in 1961 and sets aside Antarctica as a scientific preserve, established freedom of scientific investigation and banned military activity on that continent.",1
We should subsidize higher education,"A 2006 report by Future of Children, a collaboration of Princeton and Brookings Institution, concluded that 'the current admission process to, the registration and obtaining of the colleges and universities diploma contributes to economic inequality as measured by income and wealth'. [Ref","A 2006 report by Future of Children, a collaboration of Princeton and the Brookings Institution, concluded that 'the current process of admission to, enrollment in, and graduation from colleges and universities contributes to economic inequality as measured by income and wealth.'[REF",1
We should adopt direct democracy,"Regarding recent American policy (in particular initiatives), Donovan et al. Support that: one of the initial concerns concerning direct democracy is the potential it has to allow the majority of voters to trample the rights of minorities.","Regarding recent American politics (specifically initiatives), Donovan et al. argue that: One of the original concerns about direct democracy is the potential it has to allow a majority of voters to trample the rights of minorities.",1
We should fight for Palestinian independence,President Mahmoud Abbas of the Palestinian national authority said that he would oppose the creation of a Palestinian state with temporary borders and other unilateral withdrawals from Israel.,"President Mahmoud Abbas of the Palestinian National Authority said that he would oppose the creation of a Palestinian state with temporary borders and further Israel's unilateral withdrawals.",1
We should legalize public nudity,The court judged that an order prohibiting public nudity did not violate the constitutional law of an entertainment establishment completely naked in freedom of expression [ref].,"The court held that an ordinance banning public nudity did not violate the operator of a totally nude entertainment establishment's constitutional right to free speech [REF].",1
We should ban beauty contests,"Alone, Delmount also criticizes the beauty contests.","Alone, Delmount further criticizes beauty pageants.",1
We should ban alcoholic beverages,Alcoholic beverages are classified by the International Agency for Research on Cancer (CIRC) as a carcinogenic in group 1 (carcinogen with humans).,Alcoholic beverages are classified by the International Agency for Research on Cancer (IARC) as a Group 1 carcinogen (carcinogenic to humans).,1
We should abolish term limits,"In 2009, the referendum, the Azerbaijan Constitution was modified, removing any mandate limit for the president's office [ref].","In 2009 Referendum, the Constitution of Azerbaijan was amended, abolishing any term limit for the office of President [REF].",1
We should protect endangered species,"California Endangered Species Act (CESA) declares that 'all the native species of fish, amphibians, reptiles, birds, mammals, invertebrates and plants, and their habitats, threatened with extinction and people undergoing a significant decline which, if they will not lead to a threatened or threatened design. [REF].","The California Endangered Species Act (CESA) declares that, 'all native species of fishes, amphibians, reptiles, birds, mammals, invertebrates, and plants, and their habitats, threatened with extinction and those experiencing a significant decline which, if not halted, would lead to a threatened or endangered designation, will be protected or preserved.'[REF] .",1
We should increase fuel tax,"In many countries, fuel is already imposed to influence transportation behavior and increase other public income. Historically, they used these fuel taxes as a source of general income, because their experience was that the elasticity of fuel prices is low, the increase in fuel taxation has therefore only had slightly on their savings.","In many countries fuel is already taxed to influence transport behavior and to raise other public revenues. Historically, they have used these fuel taxes as a source of general revenue, as their experience has been that the price elasticity of fuel is low, thus increasing fuel taxation has only slightly impacted on their economies.",1
We should subsidize biofuels,"On February 3, 2010, the EPA issued its final decision concerning RFS2 for 2010 and beyond, [ref] and determined that Brazilian ethanol produced from sugar cane complies with the 50% GHG reduction threshold for the advanced fuel category [Ref]. EPA modeling shows that Brazil sugar cane ethanol reduces greenhouse gas emissions compared to 61%petrol, using a recovery of 30 years for indirect emissions for the change of land use (ILUC) [Ref","On February 3, 2010, EPA issued its final ruling regarding the RFS2 for 2010 and beyond,[REF] and determined that Brazilian ethanol produced from sugarcane complies with the applicable 50% GHG reduction threshold for the advanced fuel category [REF]. EPA's modelling shows that sugarcane ethanol from Brazil reduces greenhouse gas emissions as compared to gasoline by 61%, using a 30-year payback for indirect land use change (ILUC) emissions [REF",1
We should prohibit flag burning,"In June 2003, he voted against a constitutional amendment to prohibit the physical 'desecration' of the flag of the United States [ref].","In June 2003, he voted against a Constitutional amendment to prohibit the physical 'desecration' of the flag of the United States [REF].",1
We should subsidize biofuels,Fargione and her team published a separate article in the same Sciencexpress issue claiming that land cleaning to produce biofuels raw materials has created a carbon deficit.,Fargione and his team published a separate paper in the same issue of Sciencexpress claiming that clearing lands to produce biofuel feedstock created a carbon deficit.,1
We should ban gambling,The game provides jobs because all business games require work.,Gambling provides jobs since all commercial games require labor.,1
We should raise the retirement age,The number of American workers per retired was 5.1 in 1960; This decreased to 3.0 in 2009 and should decrease to 2.1 by 2030 [Ref,The number of U.S. workers per retiree was 5.1 in 1960; this declined to 3.0 in 2009 and is projected to decline to 2.1 by 2030 [REF,1
We should further exploit hydroelectric dams,The 1980 constitution specified for the creation of water rights for non -dedicative (hydroelectricity) use of water and this encouraged the developments of hydroelectric energy.,The 1980 Constitution specified for the creation of water rights for non-consumptive use (hydropower) of water and this encouraged hydroelectric power developments.,1
We should subsidize biofuels,"The National States Renewable Energies (NREL) laboratory stipulates that energy security is the first driving force behind the American biofuels program, [ref] and 'energy security of the White House for the 21st century' clearly indicates that energy security is a major reason for promoting Biodiesel [REF].","The US National Renewable Energy Laboratory (NREL) states that energy security is the number one driving force behind the US biofuels programme,[REF] and a White House 'Energy Security for the 21st Century' paper makes it clear that energy security is a major reason for promoting biodiesel [REF].",1
We should ban abortions,"Aquinas argued that abortion was still false, even when it is not murdered, no matter when the soul entered the body","Aquinas held that abortion was still wrong, even when not murder, regardless of when the soul entered the body [REF",1
Sex education should be mandatory,The Raelians do not agree with these fears and declared that the sexual education carried out correctly would imply educating parents as well as children [ref].,The Ralians disagree with those fears and stated that sex education done properly would involve educating parents as well as children [REF].,1
"it leads to increased political corruption, compulsive gambling and higher crime rates",Las Vegas has become an attractive target for investment by crime figures such as New York Bugsy Siegel,"Las Vegas became an attractive target for investment by crime figures such as New York's Bugsy Siegel",1
We should abolish zoos,The zoo helps to educate schoolchildren on their own environment and the animal kingdom in general at Discovery and Learning Center.,The zoo helps educate school children about their own environment and the animal kingdom in general at the Discovery and Learning Centre.,1
We should abandon social media,"A quarter of adolescents said social media made them more confident and 15% said it made them feel better about themselves (Common Sense, 2012).","A fourth of the teenagers said that social media makes them feel more confident and 15 percent said it makes them feel better about themselves (Common Sense, 2012).",1
economic inequality reduces social cohesion and increases social unrest,"For a given quantity of wealth in society, a company with more equality will have a higher global utility. Certain studies (Layard 2003; Blanchard and Oswald 2000, 2003) have found proof of this theory, noting that in societies where inequality is lower, satisfaction and happiness on the scale of the population tend to be higher","for any given amount of wealth in society, a society with more equality will have higher aggregate utility. Some studies (Layard 2003;Blanchard and Oswald 2000, 2003) have found evidence for this theory, noting that in societies where inequality is lower, population-wide satisfaction and happiness tend to be higher",1
We should protect endangered species,"According to an evaluation of the species led by the red list of the IUCN of endangered species, 97 species have been identified in Brazil with a vulnerable risk, at lower risk / almost threatened, threatened or in danger in a critical manner [ref].","According to a species assessment conducted by the IUCN Red List of Endangered Species, 97 species have been identified in Brazil with vulnerable, lower risk/near threatened, endangered, or critically endangered standing [REF].",1
We should further exploit wind power,"With the increase in population growth, Canada has seen wind energy as a means of diversifying energy supplies of traditional dependence on thermal combustion factories for fossil fuels and high dependence on hydroelectricity in certain provinces.","With increasing population growth, Canada has seen wind power as a way to diversify energy supplies away from traditional reliance on fossil fuel burning thermal plants and heavy reliance on hydroelectricity in some provinces.",1
We should ban the sale of violent video games to minors,"The city spokesperson asked that the game be removed from the shelves when it was released; The boss of the Union of the NYPD, Patrick Lynch, criticized the game, declaring that 'these horrible and violent video games desensit young people with violence while encouraging depravity, immorality while glorifying criminal behavior' [ref].","City spokespersons requested that the game be pulled from shelves upon its release; NYPD union boss Patrick Lynch criticized the game, stating that 'these horrible and violent video games desensitize young people to violence while encouraging depravity, immorality while glorifying criminal behavior' [REF].",1
We should end international aid,Several studies suggest that foreign aid is used as a political weapon for the United States to arouse the desired actions of other nations.,Several studies suggest that foreign aid is used as a political weapon for the U.S. to elicit desired actions from other nations.,1
We should further exploit solar energy,The energy of the sun could play a key role in the disarbonization of the global economy in parallel with the improvement of energy efficiency and by imposing costs on greenhouse gas transmitters.,The energy from the sun could play a key role in de-carbonizing the global economy alongside improvements in energy efficiency and imposing costs on greenhouse gas emitters.,1
We should end mandatory retirement,"As a general rule, compulsory retirement is justified by the argument that certain professions are either too dangerous (military staff) or require high levels of physical and mental skills (air controllers, airline pilots).","Typically, mandatory retirement is justified by the argument that certain occupations are either too dangerous (military personnel) or require high levels of physical and mental skill (air traffic controllers, airline pilots).",1
Sex education should be mandatory,The Raelians do not agree with these fears and declare that sex education has made it possible to educate parents as well as children [ref].,The Ralians disagree with those fears and state that sex education done properly would involve educating parents as well as children [REF].,1
We should adopt multiculturalism,Recognizing and promoting understanding that multiculturalism is a fundamental characteristic of Canadian heritage and identity and that it provides an invaluable resource in shaping the future of Canada.,"recognize and promote the understanding that multiculturalism is a fundamental characteristic of the Canadian heritage and identity and that it provides an invaluable resource in the shaping of Canada's future .",1
We should legalize same sex marriage,"On May 9, 2012, President Obama became the first president in office to say that he thought that same -sex couples should be allowed to get married.","On May 9, 2012, President Obama became the first sitting president to say he believed that same-sex couples should be allowed to marry.",1
Physical education should be mandatory,"For Greeks, physical education was considered important that cognitive learning.","For the Greeks, physical education was considered as important as cognitive learning.",1
Hunting should be banned,The study also stipulates that the cessation of hunting could lead to the decline in fauna for wildlife and the incentive of landowners to maintain natural habitats to decrease [REF].,"The study furthermore states that the cessation of hunting could cause wildlife to be severely harmed, rural property values to fall, and the incentive of landowners to maintain natural habitats to diminish [REF].",1
We should adopt vegetarianism,"The evidence suggests that vegetarians have lower rates of coronary disease, obesity, hypertension, type 2 diabetes, [ref] and osteoporosis [REF].","Evidence suggests that vegetarians have lower rates of coronary heart disease, obesity, hypertension, type 2 diabetes,[REF] and osteoporosis [REF].",1
We should subsidize public service broadcasters,"In a different study, they also shown that 'the property of one of the four large broadcasting networks has been linked to a considerable decrease in the quantity of television programming for local public affairs' [ref].","In a different study, they also showed that 'ownership by one of the big four broadcast networks has been linked to a considerable decrease in the amount of televised local public affairs programming'[REF] . ",1
We should end mining,"The river has been greatly damaged in recent years in recent years by the mine industry and heavy metals in Bor and Krivelj and therefore polluted the Danube with lead, copper and cadmium.","The river has been greatly ecologically damaged in recent years by the mining and heavy metal industry in Bor and Krivelj and is consequently polluting the Danube with lead, copper and cadmium.",1
"less intrusive options, including those that emphasized delay and spacing of births, could have achieved the same results over an extended period of time","These researchers also note that China could have expected a continuous reduction in its fertility rate just from continuous economic development, if it had maintained the previous policy","These researchers note further that China could have expected a continued reduction in its fertility rate just from continued economic development, had it kept to the previous policy",1
We should ban male infant circumcision,"AMA supports the general principles of the 2012 Circumcision policy of the American Academy of Pediatrics, which is read as follows: The evaluation of current evidence indicates that the health benefits of newborn male circumcision prevail over the risks; In addition, the advantages of newborn male circumcision justify access to this procedure for families who choose it.","'The AMA supports the general principles of the 2012 Circumcision Policy Statement of the American Academy of Pediatrics, which reads as follows: 'valuation of current evidence indicates that the health benefits of newborn male circumcision outweigh the risks; furthermore, the benefits of newborn male circumcision justify access to this procedure for families who choose it.",1
We should subsidize biofuels,"To make a positive contribution to a low carbon future, biofuels must be durable.","To make a positive contribution to a low carbon future, biofuels must be sustainable.",1
We should further exploit nuclear power,Nuclear power plants are a complex energy system [ref] [ref] and nuclear energy opponents criticized the sophistication and complexity of technology.,Nuclear power plants are a complex energy system[REF][REF] and opponents of nuclear power have criticized the sophistication and complexity of the technology.,1
We should fight nationalism,"The causes of the country's collapse have been associated with nationalism, ethnic conflicts, economic difficulties, frustration towards government bureaucracy, the influence of important personalities in the country and international politics.","The causes for the collapse of the country have been associated with nationalism, ethnic conflict, economic difficulty, frustration with government bureaucracy, the influence of important figures in the country, and international politics.",1
We should ban human cloning,"On February 10, 2006, talent withdrew its support for the bill, [the ref. Citing the need to balance research and protection against human cloning.","On February 10, 2006, Talent withdrew his support for the bill,[REF] citing the need to balance research and protection against human cloning.",1
We should abolish the monarchy,"The survey carried out by the Morgan survey in May 2011 showed that support for the monarchy was now 55% (up 17% since 1999), while the support of a Republic was 34% (down 20%) [REF].","The polling conducted by the Morgan Poll in May 2011 showed the support for the monarchy was now 55% (up 17% since 1999), whereas the support for a republic was at 34% (down 20%) [REF].",1
We should protect Antarctica,"As Antarctica is a continent of precious strategic, ecological and economic importance, Peru has an interest in maintaining its status as a peace area without militarization and without preservation of its environment, which is important for the Peruvian climate.","As Antarctica is a continent of valuable strategic, ecological, and economic importance, Peru has an interest in maintaining its status as a non-militarized, nuclear-free zone of peace, and in preserving its environment, which is important to the Peruvian climate.",1
We should further exploit nuclear power,"A UBS study, reported on April 12, 2011, predicted that around 30 nuclear power plants can be closed in the world, those located in seismic areas or near national borders being the most likely to close [REF]. Analysts believe that `even pro-nuclear countries such as France will be forced to close at least two reactors to demonstrate political action and restore public acceptability of nuclear energy '', noting that Fukushima events' have questioned the idea that even an advanced economy can control nuclear security '[Ref","A study by UBS, reported on April 12, 2011, predicts that around 30 nuclear plants may be closed worldwide, with those located in seismic zones or close to national boundaries being the most likely to shut [REF]. The analysts believe that 'even pro-nuclear countries such as France will be forced to close at least two reactors to demonstrate political action and restore the public acceptability of nuclear power', noting that the events at Fukushima 'cast doubt on the idea that even an advanced economy can master nuclear safety' [REF",1
We should adopt multiculturalism,"In an interview in January 1989 with Gerard Henderson, Howard has developed his reasons to oppose multiculturalism: the objection that I owe to multiculturalism is that multiculturalism says that it is impossible to have an Australian ethics, that it is impossible to have a common Australian culture.","In a January 1989 interview with Gerard Henderson, Howard elaborated on his reasons for opposing multiculturalism: The objection I have to multiculturalism is that multiculturalism is in effect saying that it is impossible to have an Australian ethos, that it is impossible to have a common Australian culture.",1
We should ban racial profiling,"The Reverend Al Sharpton discussed the incident and called him one of the 'police or racial profiling abuses', calling 'scandalous' and 'incredible'. [REF] Gates argued that the police had chosen him because of his race, and said that he could use the incident to raise awareness of the alleged police.","The Reverend Al Sharpton discussed the incident and referred to it as one of 'police abuse or racial profiling', calling it 'outrageous' and 'unbelievable.'[REF] Gates argued that the police picked on him because of his race, and said that he would use the incident to raise awareness of alleged police mistreatment of blacks,[REF] suggesting that he may plan a documentary about it [REF].",1
We should legalize prostitution,Prostitution abolitionists also cite similarities between prostitution and violence against women.,Prostitution abolitionists also cite similarities between prostitution and violence against women.,1
Sex education should be mandatory,The letter protested against the lack of sex education and sufficient relationships in schools and that the British parliament for young people believes that this has led to increasing pregnancy.,"The letter protested against the lack of sufficient sex and relationships education in schools, and that the UK Youth Parliament believe that this has led to increasing teenage pregnancy.",1
We should subsidize electric cars,Complaints concerning incentives include: high public subsidies compared to the value of the reduced carbon footprint of electric vehicles; The possibility of congestion of traffic in certain Oslo bus routes due to the growing number of electric cars; loss of income for certain ferry operators due to the large number of payment -exempted electric cars; And the shortage of parking spaces for owners of conventional cars due to the preference for electric cars (although it is in fact the planned policy) [ref].,"Complaints regarding the incentives include: high public subsidies as compared to the value of the reduced carbon footprint of electric vehicles; the possibility of traffic congestion in some of Oslo's bus lanes due to the increasing number of electric cars; the loss of revenue for some ferry operators due to the large number of electric cars exempted from payment; and the shortage of parking spaces for owners of conventional cars due to preference to electric cars (although this was actually the intended policy) [REF].",1
We should ban whaling,"At the end of December 2005, the Japanese hunting fleets experienced a strong opposition from Greenpeace, which protested that the Japanese continued their commercial whale under the cover of research, [ref] and worse still, they did it in the sanctuary of the whales of the southern ocean.","In late December 2005, Japanese whaling fleets experienced heavy opposition from Greenpeace, who protested that the Japanese were continuing their commercial whaling under the guise of research,[REF] and even worse, they were doing so in the Southern Ocean Whale Sanctuary.",1
We should protect Antarctica,"He set aside Antarctica as a scientific reserve, established the freedom of scientific investigation and environmental protection and prohibited military activity in Antarctica. It was the first weapon control agreement established during the Cold War.","It set aside Antarctica as a scientific preserve, established freedom of scientific investigation and environmental protection, and banned military activity on Antarctica. This was the first arms control agreement established during the Cold War.",1
We should increase wealth redistribution,"Walter E. Williams, professor of economics at George Mason University, said that 'government income redistribution programs produce the same result as theft.","Walter E. Williams, professor of economics at George Mason University, stated 'Government income redistribution programs produce the same result as theft.",1
We should ban alcoholic beverages,Alcohol abuse is strongly associated with the suicide of adolescents. Adolescents who abuse alcohol are 17 times more likely to commit suicide than adolescents who do not drink [Ref,"Alcohol abuse is highly associated with adolescent suicide. Adolescents who abuse alcohol are 17 times more likely to commit suicide than adolescents who don't drink [REF",1
We should further exploit geothermal energy,"The UCS supports a national standard of renewable energy which would oblige public services to produce a certain percentage of their energy from sources such as wind energy, solar energy and geothermal energy.","The UCS supports a national renewable energy standard which would require utilities to produce a certain percentage of their energy from sources such as wind power, solar energy and geothermal energy.",1
We should subsidize biofuels,"The evaluation of the impact concerning future changes in land use, forest protection and risks on biodiversity conducted as part of the Dutch government study [ref] concluded that 'the direct impact of cane production on biodiversity is limited, because cane production replaces mainly pastures and / or food crops","The impact assessment regarding future changes in land use, forest protection and risks on biodiversity conducted as part of the study commissioned by the Dutch government[REF] concluded that 'the direct impact of cane production on biodiversity is limited, because cane production replaces mainly pastures and/or food crop and sugar cane production takes place far from the major biomes in Brazil (Amazon Rain Forest, Cerrado, Atlantic Forest, Caatinga, Campos Sulinos and Pantanal",1
