Claim,Evidence,label,Original Evidence,Similarity Score
Organ donation should be mandatory,design of creating the Trillium Gift of Life Network was to increase organ and tissue across Ontario and amend the process of registering [ REF ] .,1,The purpose of creating the Trillium Gift of Life Network was to increase organ and tissue donation across Ontario and improve the process of registering [REF].,0.9485576152801514
We should legalize polygamy,"`` In the case of polygamy , there is worldwide standard - it silent be a sin criterion , therefore polygamist are take to view of leaders including Holy Orders , nor after acceptance of the Gospel can convert take another wife , nor , in some orbit , are they take to Holy Communion . ''",1,"""In the case of polygamy, there is a universal standard - it is understood to be a sin, therefore polygamists are not admitted to positions of leadership including Holy Orders, nor after acceptance of the Gospel can a convert take another wife, nor, in some areas, are they admitted to Holy Communion.""",0.9343116283416748
We should ban abortions,"Roe established class a `` trimester ( i. e. , 12 workweek ) threshold of province interest in the lifetime of veto the foetus corresponding to its increasing `` '' ( likelihood of survival outside the uterus ) over the course of a forbiddance gestation , such that nation were prohibited banning miscarriage early in gestation but leave to impose increasing restrictions or unlimited bans subsequently in gestation .",1,"Roe established a ""trimester"" (i. e., 12 week) threshold of state interest in the life of the fetus corresponding to its increasing ""viability"" (likelihood of survival outside the uterus) over the course of a pregnancy, such that states were prohibited from banning abortion early in pregnancy but allowed to impose increasing restrictions or outright bans later in pregnancy.",0.8436967134475708
We should protect endangered species,"On 16 bodily process , 2008 , the Center for Biological Diversity announced intent to sue reassessment the Interior Department Kempthorne for introducing `` regularisation .. that would eviscerate our nation 's most successful wildlife law by exempting chiliad of federal activities , admit those that get greenhouse gas , from reexamination under the Endangered Species Act . ''",1,"On December 16, 2008, the Center for Biological Diversity announced intent to sue the Interior Department under Kempthorne for introducing ""regulations.. that would eviscerate our nation's most successful wildlife law by exempting thousands of federal activities, including those that generate greenhouse gases, from review under the Endangered Species Act.""",0.827357292175293
We should legalize public nudity,"In 2012 , the city council of San Francisco proposed a ban on public nakedness in the intimate area .",1,"In 2012, the city council of San Francisco proposed a ban on public nudity in the inner city area.",0.90289306640625
We should ban abortions,"Republic : A May 2007 CVVM poll found that 72 % believe abortion in the Czech Republic should be reserve `` at the petition of the woman '' , 19 % that it should be reserve for `` social rationality '' , 5 % constitute it should be reserve equal only `` a woman 's health is at jeopardy '' , 1 % that it should be `` ostracize '' equal [ REF",1,"Czech Republic: A May 2007 CVVM poll found that 72% believe abortion in the Czech Republic should be allowed ""at the request of the woman"", 19% that it should be allowed for ""societal reasons"", 5% that it should be allowed only if ""a woman's health is at risk"", 1% that it should be ""banned"" [REF",0.8476965427398682
We should ban alcoholic beverages,A discipline conducted the recent 1990s establish non-drinker had slightly higher infection rates of Helicobacter pylori than temperate wine and beer drinker [ REF,1,A German study conducted in the late 1990s showed that non-drinkers had slightly higher infection rates of Helicobacter pylori than moderate wine and beer drinkers [REF,0.961406111717224
We should ban racial profiling,The King County Council said it was to discourage racial profiling and fall the awe of seeking wellness care [ REF ] .,1,The King County Council said it was to discourage racial profiling and decrease the fear of seeking health care [REF].,0.8960963487625122
religious belief is a delusion,"According to Professor Vilayanur S. Ramachandran , `` It 's possible that many bang-up spiritual leaders had temporal lobe raptus and this predisposes them to having visions , having mystical `` [ REF",1,"According to Professor Vilayanur S. Ramachandran, ""It's possible that many great religious leaders had temporal lobe seizures and this predisposes them to having visions, having mystical experiences.""[REF",0.8254584074020386
Surrogacy should be banned,Commercial surrogacy related advertising remains illegal in all states and territories except for at that place Northern Territory where there are no laws or regularisation regarding surrogacy system .,1,Commercial surrogacy and related advertising remains illegal in all states and territories except for the Northern Territory where there are no laws or regulations regarding surrogacy arrangements.,0.9856116771697998
We should introduce goal line technology,Law 10 ( The Method finish Scoring ) : permitting use of goal-line engineering to verify whether or goals have been scored .,1,Law 10 (The Method of Scoring): permitting use of goal-line technology to verify whether or not goals have been scored.,0.9278144240379332
We should subsidize recycling,"Local trade associations and were also refer they sustain the development of EcoPark , agreeing that by providing long-run land at low-priced toll , unitedly with supporting substructure , EcoPark will assist reuse technology development and improve wasteland retrieval rate in Hong Kong .",1,"Local trade associations and recyclers were also consulted and they support the development of EcoPark, agreeing that by providing long-term land at affordable cost, together with supporting infrastructure, EcoPark will help enhance recycling technology development and improve waste recovery rates in Hong Kong.",0.900342583656311
We should increase fuel tax,"In the United Kingdom , where fuel taxation were raised October and were scheduled to rise again in April 2008 , there was talk of objection and roadblocks if tax was not [ REF ] .",1,"In the United Kingdom, where fuel taxes were raised in October and were scheduled to rise again in April 2008, there was talk of protests and roadblocks if the tax issue was not addressed [REF].",0.9140395522117616
We should introduce compulsory voting,"Practically this meant that the party was opposed to government ascendency of , like compulsory vote , compulsory vaccination , and certificate .",1,"Practically this meant that the party was opposed to government control of society, like compulsory voting, compulsory vaccination, and social security.",0.9270338416099548
We should protect Antarctica,"The treaty entered into strength in 1961 and sets away Antarctica as a scientific conserves , establish freedom of scientific probe and banned military activity on that continent .",1,"The treaty entered into force in 1961 and sets aside Antarctica as a scientific preserve, established freedom of scientific investigation and banned military activity on that continent.",0.9350386261940002
We should subsidize higher education,"A 2006 report by Future of Children , a coaction of Princeton and the Brookings Institution , concluded that `` the current process of access to , enrolment in , and graduation from college and universities contributes to economical inequality as measured by income and wealthiness . `` [ REF wealthiness",1,"A 2006 report by Future of Children, a collaboration of Princeton and the Brookings Institution, concluded that ""the current process of admission to, enrollment in, and graduation from colleges and universities contributes to economic inequality as measured by income and wealth.""[REF",0.90246319770813
We should adopt direct democracy,"Regarding recent American politics ( specifically initiatives ) , Donovan et al . argue that : One of the original concerns about direct republic is the potential it has to leave a bulk of voter to trample the rights of minorities .",1,"Regarding recent American politics (specifically initiatives), Donovan et al. argue that: One of the original concerns about direct democracy is the potential it has to allow a majority of voters to trample the rights of minorities.",0.8829577565193176
We should legalize public nudity,The court held non that an ordinance banning public nudity did not violate the hustler of a totally nude entertainment administration 's rightfulness to relieve language manipulator [ REF ] .,1,The court held that an ordinance banning public nudity did not violate the operator of a totally nude entertainment establishment's constitutional right to free speech [REF].,0.8957723379135132
We should ban beauty contests,"only , Delmount further criticizes pageantry beauty .",1,"Alone, Delmount further criticizes beauty pageants.",0.9025282859802246
We should ban alcoholic beverages,alcohol-dependent beverage are classified International for Research on Cancer ( IARC ) as a Group 1 carcinogen ( carcinogenic to away humans ) .,1,Alcoholic beverages are classified by the International Agency for Research on Cancer (IARC) as a Group 1 carcinogen (carcinogenic to humans).,0.9585371017456056
We should abolish term limits,"In 2009 , the Constitution of Azerbaijan was rectify , abolishing any term boundary for the office of President [ REF ] .",1,"In 2009 Referendum, the Constitution of Azerbaijan was amended, abolishing any term limit for the office of President [REF].",0.8383819460868835
We should increase fuel tax,"In many commonwealth constitute fuel is already taxed to regulate transport behavior and to rear other public receipts Historically , they have use these fuel taxes as a source of general taxation , as their experience has been that the price elasticity of fuel is low , therefore increasing fuel taxation has only slightly touch their economies",1,"In many countries fuel is already taxed to influence transport behavior and to raise other public revenues. Historically, they have used these fuel taxes as a source of general revenue, as their experience has been that the price elasticity of fuel is low, thus increasing fuel taxation has only slightly impacted on their economies.",0.8507580161094666
We should subsidize biofuels,"On February , 2010 , EPA issued its last ruling involve the RFS2 for 2010 and beyond , [ REF ] and determined that Brazilian ethanol make from sugarcane complies with the applicable 50 % GHG decrease threshold for the advanced fuel category [ REF ] . EPA 's model prove sugarcane ethanol from Brazil reduces greenhouse gas emissions as compared to gasoline by 61 % , expend a 30-year payback for collateral country use change ( ILUC ) emissions [ REF",1,"On February 3, 2010, EPA issued its final ruling regarding the RFS2 for 2010 and beyond,[REF] and determined that Brazilian ethanol produced from sugarcane complies with the applicable 50% GHG reduction threshold for the advanced fuel category [REF]. EPA's modelling shows that sugarcane ethanol from Brazil reduces greenhouse gas emissions as compared to gasoline by 61%, using a 30-year payback for indirect land use change (ILUC) emissions [REF",0.9846841096878052
We should prohibit flag burning,"In June 2003 , he vote against a Constitutional amendment to disallow the physical `` desecration '' of the of United States REF ] .",1,"In June 2003, he voted against a Constitutional amendment to prohibit the physical ""desecration"" of the flag of the United States [REF].",0.8790754079818726
We should raise the retirement age,The number of U.S. workers per retiree was 5.1 in ; this correct 3.0 2009 and is retired person projected to decline to 2.1 by 2030 [ REF,1,The number of U.S. workers per retiree was 5.1 in 1960; this declined to 3.0 in 2009 and is projected to decline to 2.1 by 2030 [REF,0.9168463945388794
Sex education should be mandatory,The Raëlians disagree with those care and state say that sex education done properly would involve civilize parents as comfortably as kid [ REF ] .,1,The Raëlians disagree with those fears and stated that sex education done properly would involve educating parents as well as children [REF].,0.8511229753494263
"it leads to increased political corruption, compulsive gambling and higher crime rates",Las Vegas an attractive mark investment by crime fig such as New York 's Bugsy Siegel,1,Las Vegas became an attractive target for investment by crime figures such as New York's Bugsy Siegel,0.885324239730835
We should abolish zoos,The zoo helps civilise shoal child about their own environment and the animal land in general at the Discovery and Learning Centre .,1,The zoo helps educate school children about their own environment and the animal kingdom in general at the Discovery and Learning Centre.,0.8469334840774536
economic inequality reduces social cohesion and increases social unrest,"for any given quantity of wealth order , a order with more equality will have aggregate utility . Some report ( Layard 2003 ; Blanchard and Oswald , 2003 ) have base evidence for this possibility , observe that in societies where inequality is scurvy , population-wide satisfaction and felicity tend to be gamey",1,"for any given amount of wealth in society, a society with more equality will have higher aggregate utility. Some studies (Layard 2003;Blanchard and Oswald 2000, 2003) have found evidence for this theory, noting that in societies where inequality is lower, population-wide satisfaction and happiness tend to be higher",0.8261740803718567
We should protect endangered species,"According to a species assessment conducted by the IUCN Red List of Endangered Species , species have been name in Brazil with vulnerable , lower risk/near threatened , endangered , or critically endangered standing [ REF ]",1,"According to a species assessment conducted by the IUCN Red List of Endangered Species, 97 species have been identified in Brazil with vulnerable, lower risk/near threatened, endangered, or critically endangered standing [REF].",0.8908213376998901
We should further exploit wind power,"With increasing maturation , Canada has seen wind power as a way to diversify muscularity provision away from traditional trust on fossil fuel sting thermal plants heavy trust on hydroelectricity in some responsibility .",1,"With increasing population growth, Canada has seen wind power as a way to diversify energy supplies away from traditional reliance on fossil fuel burning thermal plants and heavy reliance on hydroelectricity in some provinces.",0.874363899230957
We should ban the sale of violent video games to minors,"City spokespersons requested that the be pulled from shelves upon its release ; NYPD North boss Patrick Lynch criticized the biz , submit that `` these horrible and violent citizenry picture games desensitize young mass to violence while encouraging depravity , iniquity while glorifying criminal behavior '' [ REF ] .",1,"City spokespersons requested that the game be pulled from shelves upon its release; NYPD union boss Patrick Lynch criticized the game, stating that ""these horrible and violent video games desensitize young people to violence while encouraging depravity, immorality while glorifying criminal behavior"" [REF].",0.8428288698196411
We should end international aid,various studies suggest that foreign aid is used as a political weapon for the U.S. to elicit coveted activity from other Nation .,1,Several studies suggest that foreign aid is used as a political weapon for the U.S. to elicit desired actions from other nations.,0.9761457443237304
We should end mandatory retirement,"Typically , compulsory retirement is excuse by the argument need that sure occupations are either dangerous ( personnel ) or require high levels of forcible and mental acquisition grievous ( air dealings controllers , airline archetype ) .",1,"Typically, mandatory retirement is justified by the argument that certain occupations are either too dangerous (military personnel) or require high levels of physical and mental skill (air traffic controllers, airline pilots).",0.907234787940979
We should adopt multiculturalism,recognize and advertize the understanding that multiculturalism is a rudimentary characteristic the Canadian heritage and identity and that it provides an invaluable resource in the defining of Canada 's hereafter .,1,recognize and promote the understanding that multiculturalism is a fundamental characteristic of the Canadian heritage and identity and that it provides an invaluable resource in the shaping of Canada's future .,0.9318971633911132
Physical education should be mandatory,"For Greeks , physical education was considered as significant as cognitive .",1,"For the Greeks, physical education was considered as important as cognitive learning.",0.9502415060997008
Hunting should be banned,"study furthermore note value badly that the cessation of hunting could cause wildlife to be badly harmed , rural property value to , and the bonus of landowners to maintain rude habitat to diminish [ REF ] .",1,"The study furthermore states that the cessation of hunting could cause wildlife to be severely harmed, rural property values to fall, and the incentive of landowners to maintain natural habitats to diminish [REF].",0.9079572558403016
We should adopt vegetarianism,"grounds suggests vegetarians have abject rates of coronary heart disease , obesity , hypertension , type 2 diabetes , [ REF ] and osteoporosis [ REF ] .",1,"Evidence suggests that vegetarians have lower rates of coronary heart disease, obesity, hypertension, type 2 diabetes,[REF] and osteoporosis [REF].",0.9182521104812622
We should subsidize public service broadcasters,"In a dissimilar survey , they too showed that `` ownership by one of the big four broadcast networks has been linked to a considerable diminution in the past amount of televised local public affairs programming '' [ REF ] .",1,"In a different study, they also showed that ""ownership by one of the big four broadcast networks has been linked to a considerable decrease in the amount of televised local public affairs programming""[REF] . ",0.92011821269989
We should end mining,"The river has been greatly ecologically damaged in yr by the mining and sullen metal industriousness in Bor and Krivelj and therefore polluting the Danube with lead , copper and cadmium .",1,"The river has been greatly ecologically damaged in recent years by the mining and heavy metal industry in Bor and Krivelj and is consequently polluting the Danube with lead, copper and cadmium.",0.9555405974388124
"less intrusive options, including those that emphasized delay and spacing of births, could have achieved the same results over an extended period of time",These investigator note further that China could have bear a continued decrease in its fertility rate just from continued reducing economic development had it continue to the previous policy,1,"These researchers note further that China could have expected a continued reduction in its fertility rate just from continued economic development, had it kept to the previous policy",0.9328673481941224
We should ban male infant circumcision,"`` The AMA supports the universal principles of the 2012 Circumcision Policy Statement of the American Academy of Pediatrics , which study as follows : `` valuation of current evidence indicates that the health welfare of new-sprung manly circumcision outweigh the endangerment ; furthermore , the welfare of new-sprung manly circumcision justify admittance to this operation for house who choose it .",1,"""The AMA supports the general principles of the 2012 Circumcision Policy Statement of the American Academy of Pediatrics, which reads as follows: ""valuation of current evidence indicates that the health benefits of newborn male circumcision outweigh the risks; furthermore, the benefits of newborn male circumcision justify access to this procedure for families who choose it.",0.8421230316162109
We should subsidize biofuels,"low-down To make a positive part to a low carbon hereafter , biofuels must be sustainable .",1,"To make a positive contribution to a low carbon future, biofuels must be sustainable.",0.9132434725761414
We should ban human cloning,"On February 10 , 2006 , Talent withdrew reenforcement for bill , [ REF ] citing the want to research and protection against human cloning .",1,"On February 10, 2006, Talent withdrew his support for the bill,[REF] citing the need to balance research and protection against human cloning.",0.8909727931022644
We should abolish the monarchy,"The polling conducted by the Morgan Poll in May 2011 showed the sustenance for the monarchy was now 55 % ( up 17 % since 1999 ) , whereas the sustenance for a republic was at 34 % ( down 20 % ) [ ] .",1,"The polling conducted by the Morgan Poll in May 2011 showed the support for the monarchy was now 55% (up 17% since 1999), whereas the support for a republic was at 34% (down 20%) [REF].",0.8432462215423584
We should protect Antarctica,"As Antarctica is a continent of worthful strategic , bionomic atomic number 33 , and grandness , Peru has bear on an interest in maintaining its position as a non-militarized , zona of peace , and in preserving its environs , which important to the Peruvian climate .",1,"As Antarctica is a continent of valuable strategic, ecological, and economic importance, Peru has an interest in maintaining its status as a non-militarized, nuclear-free zone of peace, and in preserving its environment, which is important to the Peruvian climate.",0.8760480284690857
We should further exploit nuclear power,"A work by UBS , reported on April 12 , 2011 , that around 30 atomic plants may be shut worldwide with those located in seismic zone or shut to national boundaries being the most potential to shut [ REF ] . The psychoanalyst think that 'even pro-atomic area such as France will be forced to shut at least two reactors to show political action and restore the public acceptability of atomic power ' , noting that the at Fukushima 'cast dubiety on the approximation that even an advance economy can surmount atomic safety ' [ REF exclude",1,"A study by UBS, reported on April 12, 2011, predicts that around 30 nuclear plants may be closed worldwide, with those located in seismic zones or close to national boundaries being the most likely to shut [REF]. The analysts believe that 'even pro-nuclear countries such as France will be forced to close at least two reactors to demonstrate political action and restore the public acceptability of nuclear power', noting that the events at Fukushima 'cast doubt on the idea that even an advanced economy can master nuclear safety' [REF",0.8885459303855896
We should adopt multiculturalism,"In a January 1989 audience with Gerard Henderson , Howard elaborated on reasons for opposing multiculturalism : The objection I have to multiculturalism is that multiculturalism is in event say that it is unsufferable to have an Australian ethos , that it is unsufferable to have a common Australian culture .",1,"In a January 1989 interview with Gerard Henderson, Howard elaborated on his reasons for opposing multiculturalism: The objection I have to multiculturalism is that multiculturalism is in effect saying that it is impossible to have an Australian ethos, that it is impossible to have a common Australian culture.",0.9773600101470948
We should ban racial profiling,"The Reverend Al angstrom Sharpton discussed the incident and referred to it as one of `` police abuse or racial profiling '' , cry it `` outrageous '' and `` unbelievable . `` [ REF ] Gates argued that the police picked on him because of his race , and say that he would use the incident to raise awareness of alleged police mistreatment of inkiness , [ REF ] indicate that he may plan a objective about it [ REF ] .",1,"The Reverend Al Sharpton discussed the incident and referred to it as one of ""police abuse or racial profiling"", calling it ""outrageous"" and ""unbelievable.""[REF] Gates argued that the police picked on him because of his race, and said that he would use the incident to raise awareness of alleged police mistreatment of blacks,[REF] suggesting that he may plan a documentary about it [REF].",0.8969688415527344
Sex education should be mandatory,"letter protested against the lack of sufficient sex and relationships education schools , and that the UK Youth Parliament consider that this has led to increasing teen maternity .",1,"The letter protested against the lack of sufficient sex and relationships education in schools, and that the UK Youth Parliament believe that this has led to increasing teenage pregnancy.",0.9604575634002686
We should ban whaling,"In late December 2005 , Nipponese whale fleets experience clayey opposition from Greenpeace , who protested that the Nipponese were continuing their commercial-grade whale under the pretence of enquiry , [ REF ] and still worse , they were doing so in the Southern Ocean Whale Sanctuary .",1,"In late December 2005, Japanese whaling fleets experienced heavy opposition from Greenpeace, who protested that the Japanese were continuing their commercial whaling under the guise of research,[REF] and even worse, they were doing so in the Southern Ocean Whale Sanctuary.",0.8101806044578552
We should protect Antarctica,"It set aside Antarctica as a scientific conserve , establish freedom of scientific investigating and environmental auspices , and banned military activity on Antarctica . This initiative was the initiatory arms control agreement establish during the Cold War .",1,"It set aside Antarctica as a scientific preserve, established freedom of scientific investigation and environmental protection, and banned military activity on Antarctica. This was the first arms control agreement established during the Cold War.",0.922282576560974
We should increase wealth redistribution,"Walter E. Williams , plan prof of economics at George Mason University , stated `` Government income redistribution plan produce the same effect as theft .",1,"Walter E. Williams, professor of economics at George Mason University, stated ""Government income redistribution programs produce the same result as theft.",0.9201621413230896
We should subsidize biofuels,"The shock judgment consider next changes in domain use , wood tribute and risks biodiversity conducted as region of study commissioned by the Dutch regime [ REF ] close that `` the direct shock of cane product on biodiversity is limited , because cane product replaces mainly pastures and/or food change and sugar cane take far from the major biomes in Brazil ( Amazon Rain wood , Cerrado , Atlantic wood , Caatinga , Campos Sulinos and Pantanal",1,"The impact assessment regarding future changes in land use, forest protection and risks on biodiversity conducted as part of the study commissioned by the Dutch government[REF] concluded that ""the direct impact of cane production on biodiversity is limited, because cane production replaces mainly pastures and/or food crop and sugar cane production takes place far from the major biomes in Brazil (Amazon Rain Forest, Cerrado, Atlantic Forest, Caatinga, Campos Sulinos and Pantanal",0.8383345603942871
all people should be treated similarly,"In 1933 , a congressional `` Unemployment Relief '' forbade favouritism `` on the basis of race , coloration , or creed '' [ REF",1,"In 1933, a congressional ""Unemployment Relief Act"" forbade discrimination ""on the basis of race, color, or creed"" [REF",0.85771644115448
countering the effects of a history of discrimination,"Following the transition to commonwealth in 1994 , the African National Congress-led governance chose to apply affirmative action legislation optimistic to chasten late imbalances ( a policy known as Employment Equity",1,"Following the transition to democracy in 1994, the African National Congress-led government chose to implement affirmative action legislation to correct previous imbalances (a policy known as Employment Equity",0.8827356696128845
We should abolish the three-strikes laws,Sneed find in favor three-strikes law ; LGBT utilisation discrimination ; and the eviction of substance abusers by their landlords [ REF ] .,1,Sneed ruled in favor of three-strikes law; LGBT employment discrimination; and the eviction of substance abusers by their landlords [REF].,0.9083496928215028
Physical education should be mandatory,Athletic involution physical pedagogy are examples where solicitation to deviation in biological sex may involution encourage segregation within pedagogy systems [ REF ] .,1,Athletic participation and physical education are examples where appeals to differences in biological sex may encourage segregation within education systems [REF].,0.8207780122756958
We should further exploit hydroelectric dams,"From 1889 , the mellow valley of Aude go progressively crucial in generating hydroelectric power .",1,"From 1889, the high valley of Aude became increasingly important in generating hydroelectric power.",0.8251888751983643
We should subsidize condoms,"Pope Benedict XVI say in 2005 that condoms were not a sufficient resolution to the AIDS crisis , [ REF ] but then exact that AIDS `` can not be overcome through the distribution of condoms , which even aggravates the problems . `` [ REF ]",1,"Pope Benedict XVI stated in 2005 that condoms were not a sufficient solution to the AIDS crisis,[REF] but then in 2009 claimed that AIDS ""cannot be overcome through the distribution of condoms, which even aggravates the problems.""[REF]",0.9633800983428956
We should prohibit flag burning,"While the proposed amendment is oft referred to colloquially in terms of expression of political vista through `` flag electrocution , '' the speech allow the prohibition all forms of flag , which may conduct forms other than electrocution , such as employ the flag for clothing or napkins .",1,"While the proposed amendment is frequently referred to colloquially in terms of expression of political views through ""flag burning,"" the language would permit the prohibition of all forms of flag desecration, which may take forms other than burning, such as using the flag for clothing or napkins.",0.8162091970443726
We should abolish the two-party system,Gonzales resolve that the two-party scheme offered little benefit [ REF ] .,1,Gonzales concluded that the two-party system offered little benefit [REF].,0.8818297386169434
We should legalize public nudity,"Public nudity itself has not been a offence throughout California a 2000 Appellate Court ruling , and prosecution and convictions are unheard of",1,"Public nudity itself has not been a crime throughout California since a 2000 Appellate Court ruling, and prosecutions and convictions are unheard of",0.9722785353660583
We should ban human cloning,"On March 10 note , 2010 a bill ( HR 4808 ) was introduced with a section federal financing for human cloning [ REF ] .",1,"On March 10, 2010 a bill (HR 4808) was introduced with a section banning federal funding for human cloning [REF].",0.9006010293960571
We should subsidize distance education,The delegacy recommended that there is need for distance teaching at university stage to skills and `` to provide a continuing teaching facility for the grownup population '' [ REF ] .,1,"The commission recommended that there is need for distance education at university level to upgrade skills and ""to provide a continuing education facility for the adult population"" [REF].",0.8088123798370361
We should lower the age of consent,"Numerous studies and professional clinical in the field of psychology , both before and after Rind et al . 's publications , have long supported the posture that children not accept to sexual go for activity that tike and teenage sexual vilification lawsuit harm",1,"Numerous studies and professional clinical experience in the field of psychology, both before and after Rind et al.'s publications, have long supported the stance that children cannot consent to sexual activity and that child and adolescent sexual abuse cause harm",0.8049759268760681
Physical education should be mandatory,"A study of 1800 aged 2 to 12 in Colac , Australia tested a platform of restricted diet ( no carbonated boozing or sweets ) and increased later . Interim consequence included a 68 % increase in after school action platform , 21 % diminution in television survey , and an norm of 1 kg weight compared to showing a control group [ REF",1,"A study of 1800 children aged 2 to 12 in Colac, Australia tested a program of restricted diet (no carbonated drinks or sweets) and increased exercise. Interim results included a 68% increase in after school activity programs, 21% reduction in television viewing, and an average of 1 kg weight reduction compared to a control group [REF",0.8937674164772034
We should ban alcoholic beverages,"`` Thus , the results of this discipline suggest that relatively grand alcohol intake ( of the order of 40 per day or more ) may induce a modest increment of epithelial ovarian cancer danger . '' [ REF ] . `` Associations were also find between alcohol ingestion and Cancer of the ovary and prostate , but only for 50 g and 100 g a day . ''",1,"""Thus, the results of this study suggest that relatively elevated alcohol intake (of the order of 40 g per day or more) may cause a modest increase of epithelial ovarian cancer risk."" [REF]. ""Associations were also found between alcohol consumption and cancers of the ovary and prostate, but only for 50 g and 100 g a day.""",0.956590473651886
The use of AI should be abandoned,AI trim the chance of spreading transmitted diseases between mare and stallion .,1,AI reduces the chance of spreading sexually transmitted diseases between mare and stallion.,0.9115718603134156
Historical racism continues to be reflected in socio-economic inequality,"monumental racial differentials in account wealthiness of wealth remain in the United States : between White and African Americans , the gap is a factor of XX [ REF ] . An psychoanalyst of the phenomenon , Thomas Shapiro , professor of law and societal insurance at Brandeis University argues , “ The wealth gap is not just a chronicle of meritoriousness and achievement , it ’ s also a chronicle of the diachronic legacy of airstream in the United States. ” [ REF",1,"Massive racial differentials in account of wealth remain in the United States: between whites and African Americans, the gap is a factor of twenty [REF]. An analyst of the phenomenon, Thomas Shapiro, professor of law and social policy at Brandeis University argues, “The wealth gap is not just a story of merit and achievement, it’s also a story of the historical legacy of race in the United States.”[REF",0.9021384716033936
Everyone has the right to seek and to enjoy in other countries asylum from persecution,Chere Lyn Tomayko has been institution in June 2008 in Costa Rica for kidnapping Alexandria Cyprian ( natural 1989 ) in 1997 escaping alleged domestic fierceness,1,Chere Lyn Tomayko has been granted asylum in June 2008 in Costa Rica for kidnapping Alexandria Camille Cyprian (born 1989) in 1997 for escaping alleged domestic violence,0.8853663802146912
We should subsidize biofuels,The member countries make a toast to promote the product and use of biofuels a clean and ecofriendly alternative .,1,The member countries made a pledge to promote the production and use of biofuels as a clean and ecofriendly alternative.,0.8274052143096924
We should fight urbanization,"In recent years , the expansion of Beijing has too work to as well the forefront some of urbanization , such as fleshy dealings , poor air quality , the loss of historic neighbourhood , and a pregnant inflow of actor from less-developed rural arena of the country [ ] .",1,"In recent years, the expansion of Beijing has also brought to the forefront some problems of urbanization, such as heavy traffic, poor air quality, the loss of historic neighborhoods, and a significant influx of migrant workers from less-developed rural areas of the country [REF].",0.8623427152633667
